Number of Influenza-Associated Pediatric Deaths by Week of Death data downloaded on Oct-10-2014,,,,,
SEASON,TOTAL DEATHS,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2008-09,137,106,31,0,0
,,,,,
SEASON,WEEK NUMBER,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2008-09,2008-40,0,0,0,0
2008-09,2008-41,0,0,0,0
2008-09,2008-42,0,0,0,0
2008-09,2008-43,0,0,0,0
2008-09,2008-44,0,0,0,0
2008-09,2008-45,0,0,0,0
2008-09,2008-46,0,0,0,0
2008-09,2008-47,0,0,0,0
2008-09,2008-48,0,0,0,0
2008-09,2008-49,0,0,0,0
2008-09,2008-50,0,0,0,0
2008-09,2008-51,0,0,0,0
2008-09,2008-52,0,0,0,0
2008-09,2008-53,0,0,0,0
2008-09,2009-01,1,1,0,0
2008-09,2009-02,0,0,0,0
2008-09,2009-03,1,0,0,0
2008-09,2009-04,1,1,0,0
2008-09,2009-05,2,1,0,0
2008-09,2009-06,8,1,0,0
2008-09,2009-07,6,4,0,0
2008-09,2009-08,4,5,0,0
2008-09,2009-09,4,1,0,0
2008-09,2009-10,4,3,0,0
2008-09,2009-11,1,3,0,0
2008-09,2009-12,2,4,0,0
2008-09,2009-13,2,4,0,0
2008-09,2009-14,0,1,0,0
2008-09,2009-15,1,1,0,0
2008-09,2009-16,0,1,0,0
2008-09,2009-17,1,0,0,0
2008-09,2009-18,1,0,0,0
2008-09,2009-19,2,0,0,0
2008-09,2009-20,2,0,0,0
2008-09,2009-21,4,0,0,0
2008-09,2009-22,3,0,0,0
2008-09,2009-23,9,0,0,0
2008-09,2009-24,8,0,0,0
2008-09,2009-25,6,0,0,0
2008-09,2009-26,6,0,0,0
2008-09,2009-27,4,0,0,0
2008-09,2009-28,4,0,0,0
2008-09,2009-29,6,0,0,0
2008-09,2009-30,1,0,0,0
2008-09,2009-31,2,0,0,0
2008-09,2009-32,3,0,0,0
2008-09,2009-33,1,0,0,0
2008-09,2009-34,6,0,0,0
