Number of Influenza-Associated Pediatric Deaths by Week of Death data downloaded on Oct-10-2014,,,,,
SEASON,TOTAL DEATHS,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2010-11,123,77,46,0,0
2011-12,37,27,9,1,0
,,,,,
SEASON,WEEK NUMBER,Influenza A,Influenza B,Influenza A/B Not Distinguished,Influenza A and B
2010-11,2010-40,0,0,0,0
2010-11,2010-41,0,0,0,0
2010-11,2010-42,0,0,0,0
2010-11,2010-43,1,0,0,0
2010-11,2010-44,0,0,0,0
2010-11,2010-45,0,0,0,0
2010-11,2010-46,1,0,0,0
2010-11,2010-47,1,0,0,0
2010-11,2010-48,1,1,0,0
2010-11,2010-49,1,0,0,0
2010-11,2010-50,0,0,0,0
2010-11,2010-51,1,0,0,0
2010-11,2010-52,4,3,0,0
2010-11,2011-01,1,1,0,0
2010-11,2011-02,3,1,0,0
2010-11,2011-03,6,4,0,0
2010-11,2011-04,10,5,0,0
2010-11,2011-05,9,3,0,0
2010-11,2011-06,4,5,0,0
2010-11,2011-07,7,3,0,0
2010-11,2011-08,4,6,0,0
2010-11,2011-09,4,5,0,0
2010-11,2011-10,8,2,0,0
2010-11,2011-11,1,3,0,0
2010-11,2011-12,4,1,0,0
2010-11,2011-13,0,0,0,0
2010-11,2011-14,0,1,0,0
2010-11,2011-15,2,1,0,0
2010-11,2011-16,2,0,0,0
2010-11,2011-17,2,0,0,0
2010-11,2011-18,0,0,0,0
2010-11,2011-19,0,0,0,0
2010-11,2011-20,0,0,0,0
2010-11,2011-21,0,0,0,0
2010-11,2011-22,0,0,0,0
2010-11,2011-23,0,0,0,0
2010-11,2011-24,0,0,0,0
2010-11,2011-25,0,0,0,0
2010-11,2011-26,0,0,0,0
2010-11,2011-27,0,0,0,0
2010-11,2011-28,0,0,0,0
2010-11,2011-29,0,0,0,0
2010-11,2011-30,0,0,0,0
2010-11,2011-31,0,0,0,0
2010-11,2011-32,0,0,0,0
2010-11,2011-33,0,1,0,0
2010-11,2011-34,0,0,0,0
2010-11,2011-35,0,0,0,0
2010-11,2011-36,0,0,0,0
2010-11,2011-37,0,0,0,0
2010-11,2011-38,0,0,0,0
2010-11,2011-39,0,0,0,0
2011-12,2011-40,0,0,0,0
2011-12,2011-41,0,0,0,0
2011-12,2011-42,0,0,0,0
2011-12,2011-43,0,1,0,0
2011-12,2011-44,0,0,0,0
2011-12,2011-45,0,0,0,0
2011-12,2011-46,0,0,0,0
2011-12,2011-47,0,0,0,0
2011-12,2011-48,0,0,0,0
2011-12,2011-49,0,0,0,0
2011-12,2011-50,0,0,0,0
2011-12,2011-51,0,0,0,0
2011-12,2011-52,0,0,0,0
2011-12,2012-01,0,0,0,0
2011-12,2012-02,0,0,0,0
2011-12,2012-03,1,1,0,0
2011-12,2012-04,0,0,0,0
2011-12,2012-05,1,0,1,0
2011-12,2012-06,1,0,0,0
2011-12,2012-07,1,0,0,0
2011-12,2012-08,0,0,0,0
2011-12,2012-09,7,0,0,0
2011-12,2012-10,2,0,0,0
2011-12,2012-11,1,1,0,0
2011-12,2012-12,1,0,0,0
2011-12,2012-13,4,1,0,0
2011-12,2012-14,2,0,0,0
2011-12,2012-15,0,0,0,0
2011-12,2012-16,0,0,0,0
2011-12,2012-17,4,2,0,0
2011-12,2012-18,0,1,0,0
2011-12,2012-19,1,1,0,0
2011-12,2012-20,0,0,0,0
2011-12,2012-21,1,0,0,0
2011-12,2012-22,0,0,0,0
2011-12,2012-23,0,1,0,0
2011-12,2012-24,0,0,0,0
2011-12,2012-25,0,0,0,0
2011-12,2012-26,0,0,0,0
2011-12,2012-27,0,0,0,0
2011-12,2012-28,0,0,0,0
2011-12,2012-29,0,0,0,0
2011-12,2012-30,0,0,0,0
2011-12,2012-31,0,0,0,0
2011-12,2012-32,0,0,0,0
2011-12,2012-33,0,0,0,0
2011-12,2012-34,0,0,0,0
2011-12,2012-35,0,0,0,0
2011-12,2012-36,0,0,0,0
2011-12,2012-37,0,0,0,0
2011-12,2012-38,0,0,0,0
2011-12,2012-39,0,0,0,0
