"R0","vaccination","month","primary_cases_timing","variable","monthly_clinical_attack_rate","monthly_clinical_cases"
1.8,"TIV",1,"30-90-1","not_vaccinated",0.258706745016193,234.473684210526
1.8,"TIV",2,"30-90-1","not_vaccinated",16.2551956004672,14732.5714285714
1.8,"TIV",3,"30-90-1","not_vaccinated",6.46968175682882,5863.66666666667
1.8,"TIV",4,"30-90-1","not_vaccinated",0.124521027503385,112.857142857143
1.8,"LAIV",2,"60-120-1","not_vaccinated",0.0681870841746384,61.8
1.8,"LAIV",3,"60-120-1","not_vaccinated",6.63859952198637,6016.7619047619
1.8,"LAIV",4,"60-120-1","not_vaccinated",13.4530521574976,12192.9047619048
1.8,"LAIV",5,"60-120-1","not_vaccinated",0.842854988695908,763.904761904762
1.8,"TIV",2,"60-120-1","not_vaccinated",0.480010171844272,435.047619047619
1.8,"TIV",3,"60-120-1","not_vaccinated",18.8442872432148,17079.1428571429
1.8,"TIV",4,"60-120-1","not_vaccinated",3.8336188910483,3474.52380952381
1.8,"TIV",5,"60-120-1","not_vaccinated",0.0156124149040636,14.15
1.8,"LAIV",6,"60-120-1","not_vaccinated",0.0085721875798338,7.76923076923077
2.4,"LAIV",1,"30-90-1","not_vaccinated",1.10346121169993,1000.1
2.4,"LAIV",2,"30-90-1","not_vaccinated",22.4770962747197,20371.6666666667
2.4,"LAIV",3,"30-90-1","not_vaccinated",1.53822874355131,1394.14285714286
2.4,"LAIV",4,"30-90-1","not_vaccinated",0.0270320964770006,24.5
2.4,"TIV",1,"30-90-1","not_vaccinated",2.30164246913113,2086.04761904762
2.4,"TIV",2,"30-90-1","not_vaccinated",23.8137795914765,21583.1428571429
2.4,"TIV",3,"30-90-1","not_vaccinated",0.235854385005357,213.761904761905
2.4,"TIV",4,"30-90-1","not_vaccinated",0.00183891812768712,1.66666666666667
2.4,"LAIV",2,"60-120-1","not_vaccinated",0.662168147521165,600.142857142857
2.4,"LAIV",3,"60-120-1","not_vaccinated",23.4135784663738,21220.4285714286
2.4,"LAIV",4,"60-120-1","not_vaccinated",0.985607575922362,893.285714285714
2.4,"LAIV",5,"60-120-1","not_vaccinated",0.00314030634112723,2.84615384615385
2.4,"TIV",2,"60-120-1","not_vaccinated",2.79158279886491,2530.09523809524
2.4,"TIV",3,"60-120-1","not_vaccinated",23.3893047470883,21198.4285714286
2.4,"TIV",4,"60-120-1","not_vaccinated",0.255294376640906,231.380952380952
2.4,"TIV",5,"60-120-1","not_vaccinated",0.00165502631491841,1.5
2.4,"LAIV",5,"30-90-1","not_vaccinated",0.00110335087661227,1
2.8,"LAIV",1,"30-90-1","not_vaccinated",2.94741797505691,2671.33333333333
