age_months,age_years,count
0,0.0,535.8333333333334
1,0.0833,535.8333333333334
2,0.1667,535.8333333333334
3,0.25,535.8333333333334
4,0.3333,535.8333333333334
5,0.4167,535.8333333333334
6,0.5,535.8333333333334
7,0.5833,535.8333333333334
8,0.6667,535.8333333333334
9,0.75,535.8333333333334
10,0.8333,535.8333333333334
11,0.9167,535.8333333333334
12,1.0,473.0
13,1.0833,473.0
14,1.1667,473.0
15,1.25,473.0
16,1.3333,473.0
17,1.4167,473.0
18,1.5,473.0
19,1.5833,473.0
20,1.6667,473.0
21,1.75,473.0
22,1.8333,473.0
23,1.9167,473.0
24,2.0,460.9166666666667
25,2.0833,460.9166666666667
26,2.1667,460.9166666666667
27,2.25,460.9166666666667
28,2.3333,460.9166666666667
29,2.4167,460.9166666666667
30,2.5,460.9166666666667
31,2.5833,460.9166666666667
32,2.6667,460.9166666666667
33,2.75,460.9166666666667
34,2.8333,460.9166666666667
35,2.9167,460.9166666666667
36,3.0,495.3333333333333
37,3.0833,495.3333333333333
38,3.1667,495.3333333333333
39,3.25,495.3333333333333
40,3.3333,495.3333333333333
41,3.4167,495.3333333333333
42,3.5,495.3333333333333
43,3.5833,495.3333333333333
44,3.6667,495.3333333333333
45,3.75,495.3333333333333
46,3.8333,495.3333333333333
47,3.9167,495.3333333333333
48,4.0,405.0
49,4.0833,405.0
50,4.1667,405.0
51,4.25,405.0
52,4.3333,405.0
53,4.4167,405.0
54,4.5,405.0
55,4.5833,405.0
56,4.6667,405.0
57,4.75,405.0
58,4.8333,405.0
59,4.9167,405.0
60,5.0,408.8333333333333
61,5.0833,408.8333333333333
62,5.1667,408.8333333333333
63,5.25,408.8333333333333
64,5.3333,408.8333333333333
65,5.4167,408.8333333333333
66,5.5,408.8333333333333
67,5.5833,408.8333333333333
68,5.6667,408.8333333333333
69,5.75,408.8333333333333
70,5.8333,408.8333333333333
71,5.9167,408.8333333333333
72,6.0,417.3333333333333
73,6.0833,417.3333333333333
74,6.1667,417.3333333333333
75,6.25,417.3333333333333
76,6.3333,417.3333333333333
77,6.4167,417.3333333333333
78,6.5,417.3333333333333
79,6.5833,417.3333333333333
80,6.6667,417.3333333333333
81,6.75,417.3333333333333
82,6.8333,417.3333333333333
83,6.9167,417.3333333333333
84,7.0,415.1666666666667
85,7.0833,415.1666666666667
86,7.1667,415.1666666666667
87,7.25,415.1666666666667
88,7.3333,415.1666666666667
89,7.4167,415.1666666666667
90,7.5,415.1666666666667
91,7.5833,415.1666666666667
92,7.6667,415.1666666666667
93,7.75,415.1666666666667
94,7.8333,415.1666666666667
95,7.9167,415.1666666666667
96,8.0,431.6666666666667
97,8.0833,431.6666666666667
98,8.1667,431.6666666666667
99,8.25,431.6666666666667
100,8.3333,431.6666666666667
101,8.4167,431.6666666666667
102,8.5,431.6666666666667
103,8.5833,431.6666666666667
104,8.6667,431.6666666666667
105,8.75,431.6666666666667
106,8.8333,431.6666666666667
107,8.9167,431.6666666666667
108,9.0,459.5833333333333
109,9.0833,459.5833333333333
110,9.1667,459.5833333333333
111,9.25,459.5833333333333
112,9.3333,459.5833333333333
113,9.4167,459.5833333333333
114,9.5,459.5833333333333
115,9.5833,459.5833333333333
116,9.6667,459.5833333333333
117,9.75,459.5833333333333
118,9.8333,459.5833333333333
119,9.9167,459.5833333333333
120,10.0,510.75
121,10.0833,510.75
122,10.1667,510.75
123,10.25,510.75
124,10.3333,510.75
125,10.4167,510.75
126,10.5,510.75
127,10.5833,510.75
128,10.6667,510.75
129,10.75,510.75
130,10.8333,510.75
131,10.9167,510.75
132,11.0,448.9166666666667
133,11.0833,448.9166666666667
134,11.1667,448.9166666666667
135,11.25,448.9166666666667
136,11.3333,448.9166666666667
137,11.4167,448.9166666666667
138,11.5,448.9166666666667
139,11.5833,448.9166666666667
140,11.6667,448.9166666666667
141,11.75,448.9166666666667
142,11.8333,448.9166666666667
143,11.9167,448.9166666666667
144,12.0,476.5833333333333
145,12.0833,476.5833333333333
146,12.1667,476.5833333333333
147,12.25,476.5833333333333
148,12.3333,476.5833333333333
149,12.4167,476.5833333333333
150,12.5,476.5833333333333
151,12.5833,476.5833333333333
152,12.6667,476.5833333333333
153,12.75,476.5833333333333
154,12.8333,476.5833333333333
155,12.9167,476.5833333333333
156,13.0,540.0833333333334
157,13.0833,540.0833333333334
158,13.1667,540.0833333333334
159,13.25,540.0833333333334
160,13.3333,540.0833333333334
161,13.4167,540.0833333333334
162,13.5,540.0833333333334
163,13.5833,540.0833333333334
164,13.6667,540.0833333333334
165,13.75,540.0833333333334
166,13.8333,540.0833333333334
167,13.9167,540.0833333333334
168,14.0,486.25
169,14.0833,486.25
170,14.1667,486.25
171,14.25,486.25
172,14.3333,486.25
173,14.4167,486.25
174,14.5,486.25
175,14.5833,486.25
176,14.6667,486.25
177,14.75,486.25
178,14.8333,486.25
179,14.9167,486.25
180,15.0,544.1666666666666
181,15.0833,544.1666666666666
182,15.1667,544.1666666666666
183,15.25,544.1666666666666
184,15.3333,544.1666666666666
185,15.4167,544.1666666666666
186,15.5,544.1666666666666
187,15.5833,544.1666666666666
188,15.6667,544.1666666666666
189,15.75,544.1666666666666
190,15.8333,544.1666666666666
191,15.9167,544.1666666666666
192,16.0,512.0833333333334
193,16.0833,512.0833333333334
194,16.1667,512.0833333333334
195,16.25,512.0833333333334
196,16.3333,512.0833333333334
197,16.4167,512.0833333333334
198,16.5,512.0833333333334
199,16.5833,512.0833333333334
200,16.6667,512.0833333333334
201,16.75,512.0833333333334
202,16.8333,512.0833333333334
203,16.9167,512.0833333333334
204,17.0,487.25
205,17.0833,487.25
206,17.1667,487.25
207,17.25,487.25
208,17.3333,487.25
209,17.4167,487.25
210,17.5,487.25
211,17.5833,487.25
212,17.6667,487.25
213,17.75,487.25
214,17.8333,487.25
215,17.9167,487.25
216,18.0,761.1666666666666
217,18.0833,761.1666666666666
218,18.1667,761.1666666666666
219,18.25,761.1666666666666
220,18.3333,761.1666666666666
221,18.4167,761.1666666666666
222,18.5,761.1666666666666
223,18.5833,761.1666666666666
224,18.6667,761.1666666666666
225,18.75,761.1666666666666
226,18.8333,761.1666666666666
227,18.9167,761.1666666666666
