,IIV HD,IIV ID,IIV IM,LAIV,age_group,base_overall_coverage,choice,exp_id,multiplier,overall_coverage
51,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,7,0.0325,0.61
52,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,7,0.0325,0.65
53,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,7,0.0325,0.5533750000000001
54,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,7,0.0325,0.704
55,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,7,0.0325,0.35550000000000004
56,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,8,0.0325,0.7053750000000001
57,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,8,0.0325,0.4733125
58,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,8,0.0325,0.61
59,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,8,0.0325,0.65
60,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,8,0.0325,0.5533750000000001
61,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,8,0.0325,0.704
62,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,8,0.0325,0.323
63,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,9,0.0325,0.7053750000000001
64,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,9,0.0325,0.4733125
65,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,9,0.0325,0.61
66,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,9,0.0325,0.65
67,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,9,0.0325,0.529
68,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,9,0.0325,0.704
69,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,9,0.0325,0.35550000000000004
70,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,10,0.0325,0.7053750000000001
71,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,10,0.0325,0.4733125
72,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,10,0.0325,0.61
73,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,10,0.0325,0.65
74,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,10,0.0325,0.529
75,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,10,0.0325,0.704
76,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,10,0.0325,0.35550000000000004
77,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,11,0.0325,0.7053750000000001
78,0.0,0.05248646507328669,0.9475135349267133,0.0,"[50,65)",0.453,IIV ID,11,0.0325,0.4733125
79,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,11,0.0325,0.61
80,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,11,0.0325,0.65
81,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,11,0.0325,0.529
82,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,11,0.0325,0.704
83,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,11,0.0325,0.323
84,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,12,0.0325,0.7053750000000001
85,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,12,0.0325,0.453
86,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,12,0.0325,0.634375
87,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,12,0.0325,0.65
88,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,12,0.0325,0.5533750000000001
89,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,12,0.0325,0.704
90,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,12,0.0325,0.35550000000000004
